Goal,Number of Players,Number of Rounds,End Result
[ ][ ][ ],3,3,Player 0 wins
[ ][ ][ ],3,4,Player 1 wins
[ ][ ][ ],3,4,Player 1 wins
[ ][ ][ ],3,4,Player 1 wins
[ ][ ][ ],3,6,Player 1 wins
[ ][ ][ ],3,6,Player 0 wins
[ ][ ][ ],3,8,Player 1 wins
[ ][ ][ ],3,2,Player 2 wins
[ ][ ][ ],3,2,Player 2 wins
[ ][ ][ ],3,6,Player 0 wins
[ ][ ][ ],3,6,Player 1 wins
[ ][ ][ ],3,8,Player 1 wins
[ ][ ][ ],3,2,Player 1 wins
[ ][ ][ ],3,2,Player 1 wins
[ ][ ][ ],3,6,Player 2 wins
[ ][ ][ ],3,2,Player 2 wins
[ ][ ][ ],3,2,Player 2 wins
[ ][ ][ ],3,4,Player 0 wins
[ ][ ][ ],3,4,Player 0 wins
[ ][ ][ ],3,3,Player 1 wins
[ ][ ][ ],3,3,Player 1 wins
[ ][ ][ ],3,5,Player 0 wins
[ ][ ][ ],3,5,Player 0 wins
[ ][ ][ ],3,5,Player 1 wins
[ ][ ][ ],3,5,Player 1 wins
[ ][ ][ ],3,1,Player 1 wins
[ ][ ][ ],3,1,Player 1 wins
[ ][ ][ ],3,2,Player 0 wins
[ ][ ][ ],3,4,Player 1 wins
[ ][ ][ ],3,4,Player 1 wins
[ ][ ][ ],3,2,Player 2 wins
[ ][ ][ ],3,2,Player 2 wins
[ ][ ][ ],3,2,Player 2 wins
[ ][ ][ ],3,7,Player 2 wins
[ ][ ][ ],3,1,Player 0 wins
[ ][ ][ ],3,1,Player 0 wins
[ ][ ][ ],3,1,Player 0 wins
[ ][ ][ ],3,8,Player 2 wins
[ ][ ][ ],3,2,Player 1 wins
[ ][ ][ ],3,2,Player 1 wins
[ ][ ][ ],3,2,Player 1 wins
[ ][ ][ ],3,2,Player 1 wins
[ ][ ][ ],3,2,Player 1 wins
[ ][ ][ ],3,4,Player 0 wins
[ ][ ][ ],3,4,Player 0 wins
[ ][ ][ ],3,3,Player 1 wins
[ ][ ][ ],3,5,Player 1 wins
[ ][ ][ ],3,8,Player 0 wins
[ ][ ][ ],3,1,Player 0 wins
[ ][ ][ ],3,9,Player 1 wins
[ ][ ][ ],3,4,Player 2 wins
[ ][ ][ ],3,1,Player 2 wins
[ ][ ][ ],3,1,Player 2 wins
[ ][ ][ ],3,1,Player 1 wins
[ ][ ][ ],3,1,Player 1 wins
[ ][ ][ ],3,1,Player 1 wins
[ ][ ][ ],3,1,Player 1 wins
[ ][ ][ ],3,1,Player 2 wins
[ ][ ][ ],3,1,Player 2 wins
[ ][ ][ ],3,1,Player 1 wins
[ ][ ][ ],3,1,Player 1 wins
[ ][ ][ ],3,1,Player 1 wins
[ ][ ][ ],3,2,Player 0 wins
[ ][ ][ ],3,2,Player 0 wins
[ ][ ][ ],3,2,Player 0 wins
[ ][ ][ ],3,2,Player 2 wins
[ ][ ][ ],3,2,Player 2 wins
[ ][ ][ ],3,1,Player 1 wins
[ ][ ][ ],3,1,Player 1 wins
[ ][ ][ ],3,1,Player 1 wins
[ ][ ][ ],3,1,Player 1 wins
[ ][ ][ ],3,3,Player 1 wins
[ ][ ][ ],3,3,Player 1 wins
[ ][ ][ ],3,1,Player 0 wins
[ ][ ][ ],3,1,Player 0 wins
[ ][ ][ ],3,1,Player 0 wins
[ ][ ][ ],3,1,Player 0 wins
[ ][ ][ ],3,1,Player 1 wins
[ ][ ][ ],3,1,Player 1 wins
[ ][ ][ ],3,1,Player 1 wins
[ ][ ][ ],3,2,Player 2 wins
[ ][ ][ ],3,2,Player 2 wins
[ ][ ][ ],3,1,Player 0 wins
[ ][ ][ ],3,1,Player 0 wins
[ ][ ][ ],3,6,Player 1 wins
[ ][ ][ ],3,3,Player 2 wins
[ ][ ][ ],3,2,Player 1 wins
[ ][ ][ ],3,2,Player 1 wins
[ ][ ][ ],3,5,Player 0 wins
[ ][ ][ ],3,4,Player 1 wins
[ ][ ][ ],3,2,Player 2 wins
[ ][ ][ ],3,7,Player 2 wins
[ ][ ][ ],3,7,Player 2 wins
[ ][ ][ ],3,4,Player 1 wins
[ ][ ][ ],3,5,Player 2 wins
[ ][ ][ ],3,5,Player 2 wins
[ ][ ][ ],3,1,Player 1 wins
[ ][ ][ ],3,1,Player 1 wins
[ ][ ][ ],3,1,Player 0 wins
[ ][ ][ ],3,1,Player 0 wins
[ ][ ][ ],3,1,Player 0 wins
[ ][ ][ ],3,7,Player 1 wins
[ ][ ][ ],3,3,Player 1 wins
[ ][ ][ ],3,1,Player 2 wins
[ ][ ][ ],3,1,Player 2 wins
[ ][ ][ ],3,1,Player 2 wins
[ ][ ][ ],3,6,Player 0 wins
[ ][ ][ ],3,2,Player 1 wins
[ ][ ][ ],3,2,Player 1 wins
[ ][ ][ ],3,6,Player 2 wins
[ ][ ][ ],3,5,Player 0 wins
[ ][ ][ ],3,4,Player 0 wins
[ ][ ][ ],3,1,Player 1 wins
[ ][ ][ ],3,1,Player 1 wins
[ ][ ][ ],3,3,Player 0 wins
[ ][ ][ ],3,2,Player 0 wins
[ ][ ][ ],3,4,Player 2 wins
[ ][ ][ ],3,8,Player 0 wins
[ ][ ][ ],3,5,Player 0 wins
[ ][ ][ ],3,9,Player 0 wins
[ ][ ][ ],3,5,Player 2 wins
[ ][ ][ ],3,3,Player 0 wins
[ ][ ][ ],3,1,Player 0 wins
[ ][ ][ ],3,1,Player 0 wins
[ ][ ][ ],3,2,Player 0 wins
[ ][ ][ ],3,2,Player 0 wins
[ ][ ][ ],3,2,Player 0 wins
[ ][ ][ ],3,4,Player 2 wins
[ ][ ][ ],3,4,Player 2 wins
[ ][ ][ ],3,1,Player 2 wins
[ ][ ][ ],3,6,Player 2 wins
[ ][ ][ ],3,6,Player 0 wins
[ ][ ][ ],3,6,Player 2 wins
[ ][ ][ ],3,6,Player 2 wins
[ ][ ][ ],3,3,Player 1 wins
[ ][ ][ ],3,7,Player 2 wins
[ ][ ][ ],3,7,Player 0 wins
[ ][ ][ ],3,8,Player 2 wins
[ ][ ][ ],3,4,Player 0 wins
[ ][ ][ ],3,4,Player 0 wins
[ ][ ][ ],3,4,Player 0 wins
[ ][ ][ ],3,7,Player 1 wins
[ ][ ][ ],3,6,Player 0 wins
[ ][ ][ ],3,3,Player 1 wins
[ ][ ][ ],3,2,Player 1 wins
[ ][ ][ ],3,2,Player 1 wins
[ ][ ][ ],3,5,Player 2 wins
[ ][ ][ ],3,2,Player 0 wins
[ ][ ][ ],3,2,Player 0 wins
[ ][ ][ ],3,7,Player 0 wins
[ ][ ][ ],3,1,Player 2 wins
[ ][ ][ ],3,7,Player 1 wins
[ ][ ][ ],3,4,Player 0 wins
[ ][ ][ ],3,2,Player 1 wins
[ ][ ][ ],3,2,Player 1 wins
[ ][ ][ ],3,6,Player 2 wins
[ ][ ][ ],3,4,Player 0 wins
[ ][ ][ ],3,4,Player 0 wins
[ ][ ][ ],3,5,Player 0 wins
[ ][ ][ ],3,2,Player 2 wins
[ ][ ][ ],3,2,Player 2 wins
[ ][ ][ ],3,2,Player 2 wins
[ ][ ][ ],3,7,Player 2 wins
[ ][ ][ ],3,2,Player 2 wins
[ ][ ][ ],3,2,Player 2 wins
[ ][ ][ ],3,1,Player 1 wins
[ ][ ][ ],3,1,Player 1 wins
[ ][ ][ ],3,1,Player 1 wins
[ ][ ][ ],3,7,Player 1 wins
[ ][ ][ ],3,5,Player 0 wins
[ ][ ][ ],3,5,Player 2 wins
[ ][ ][ ],3,6,Player 2 wins
[ ][ ][ ],3,3,Player 2 wins
